Question_Title,Question_ID,Author_Name,Author_ID,Author_Rep,Question_Post_Time,Question_Score,Number_Of_Views,Number_Of_Answers,Number_Of_Comments,Edited,Answer_Accepted,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5,Question_Closed
Why was a uranium bomb dropped on Hiroshima?,71047,WillO,48839,217,2023-02-21 23:22:01Z,N/A,N/A,1,,False,True,5,world-war-two,nuclear-weapons,hiroshima,world-war-two,False
How does the parallel axis theorem explain the opening of a door?,751158,ACB,305718,2518,2023-02-21 13:43:34Z,N/A,N/A,4,,False,True,5,newtonian-mechanics,rotational-dynamics,reference-frames,rigid-body-dynamics,False
"How do I help my player, play a cool character?",204828,N/A,N/A,N/A,2023-02-22 17:49:13Z,N/A,N/A,5,,False,True,5,roleplaying,roleplaying,N/A,N/A,False
"What is this ""circled G"" glyph alongside Greek text in an English book from 1765?",160190,Quuxplusone,130280,605,2023-02-20 00:57:06Z,N/A,N/A,2,,False,True,5,typesetting,book,history,ligatures,False
Plotting a complex matrix with phase dependent color,280350,Syed,81355,27.2k,2023-02-22 06:41:05Z,N/A,N/A,3,,False,True,5,plotting,list-manipulation,matrix,graphics3d,False
How can I mark the intersection of lines and curves with letters and coordinate values?,280318,N/A,N/A,N/A,2023-02-22 11:45:02Z,N/A,N/A,4,,False,True,5,plotting,plotting,N/A,N/A,False
What is the name for the fine line patterns on bank notes?,603681,Laurel,191178,61.5k,2023-02-21 16:42:28Z,N/A,N/A,1,,False,True,5,single-word-requests,single-word-requests,N/A,N/A,False
Prove or disprove: special case of second isomorphism theorem applied to infinite order group,4644058,Shaun,104041,41.6k,2023-02-22 14:01:00Z,N/A,N/A,1,,False,True,5,abstract-algebra,group-theory,infinite-groups,abstract-algebra,False
Hand laid-out FAT: Which is the first version of DOS to support reserved sectors?,26494,Joshua,418,1049,2023-02-22 04:28:37Z,N/A,N/A,1,,False,True,5,ms-dos,file-system,ms-dos,file-system,False
Story about time traveling to the dinosaurs where travelers have an option to stay in the past,272403,techturtle,25807,233,2023-02-21 19:44:47Z,N/A,N/A,1,,False,True,5,story-identification,time-travel,dinosaurs,story-identification,False
How to deal with a legitimate check received that is made out to my deceased wife's name?,155341,Giacomo1968,20856,678,2023-02-20 18:08:38Z,N/A,N/A,3,,False,True,5,check,death,estate,check,False
How does an electrons's wavefunction change when it moves between energy levels?,171588,Mikayla Eckel Cifrese,103649,189,2023-02-21 22:01:37Z,N/A,N/A,2,,False,True,5,quantum-chemistry,energy,electrons,orbitals,False
Racism at Schengen ports of entry,179543,phoog,19400,124k,2023-02-21 20:28:36Z,N/A,N/A,7,,False,True,5,schengen,france,tourism,discrimination,False
Same SE for all coefficients of a linear model,606074,jai,380442,51,2023-02-20 22:11:27Z,N/A,N/A,4,,False,True,5,r,regression,linear-model,regression-coefficients,False
How does the Chandrasekhar limit relate to the ignition of carbon in white dwarf stars?,51979,uhoh,7982,30.7k,2023-02-21 23:55:22Z,N/A,N/A,1,,False,True,5,supernova,white-dwarf,degenerate-matter,supernova,False
Calculating confidence in part of a sample (explain like I'm in the humanities please :) ),606195,Richard Hardy,53690,60.6k,2023-02-22 11:57:49Z,N/A,N/A,1,,False,True,5,confidence-interval,social-science,confidence-interval,social-science,False
Different P value of Mann-Whitney-Wilcoxon between R and Stata,606222,Abo7aneen,362674,45,2023-02-22 10:01:58Z,N/A,N/A,1,,False,True,5,r,p-value,stata,wilcoxon-mann-whitney-test,False
"What kind of training would an agent responsible for surviving in a hostile, apocalyptic world need to go through?",242386,Faz,68967,1375,2023-02-21 18:40:20Z,N/A,N/A,3,,False,True,5,post-apocalypse,military,survival,training,False
Skip Heathrow flight after passing security,179529,Glorfindel,28333,5745,2023-02-21 21:41:00Z,N/A,N/A,4,,False,True,5,uk,transit,layovers,airport-security,False
